Type of slope movement,Season,min_volume,median_volume,max_volume,Relative size,Rock unit,Rockfall,slope_angle_degrees,trigger
RF,Winter,50000,200000,500000,large,Kec,Yes,69.0,Spontaneous
RF,Fall,5000,20000,50000,large,Ks,Yes,61.3,Precipitation
RF,Spring,5000,20000,50000,large,Kec,Yes,64.8,Spontaneous
RF,Summer,5,70,50,medium,Khd,Yes,74.1,Light/Thermal
RF,Summer,5000,20000,50000,large,Kgp,Yes,69.3,Spontaneous
RF,Spring,5000,20000,50000,large,Kgp,Yes,85.4,Earthquake
RF,Spring,5,36000,50,large,Khd,Yes,69.6,Earthquake
RF,Spring,500,2000,5000,large,Ks,Yes,63.6,Earthquake
RF,Spring,500,2000,5000,large,Khd,Yes,77.4,Earthquake
RS,Spring,500,2000,5000,large,Kgp,No,87.8,Earthquake
RS,Fall,500,2000,5000,large,Qat,No,86.9,Spontaneous
RF,Spring,5,1500,50,large,Kga,Yes,78.7,Spontaneous
RF,Spring,5,1000,50,large,Kec,Yes,75.8,Spontaneous
RS,Spring,50,200,500,medium,Ks,No,73.6,Spontaneous
RS,Summer,500,2000,5000,large,Kgp,No,63.6,Spontaneous
RS,Spring,0,2,5,small,Kgp,No,51.2,Spontaneous
RS,Fall,5,20,50,small,Qat,No,72.5,Precipitation
RS,Fall,5,20,50,small,Kec,No,69.0,Precipitation
RS,Winter,5,20,50,small,Kgp,No,75.5,Spontaneous
RS,Winter,5,20,50,small,Khd,No,62.7,Spontaneous
RF,Spring,0,2,5,small,Khd,Yes,54.8,Spontaneous
RS,Spring,5,20,50,small,Kec,No,58.5,Spontaneous
RS,Winter,5000,20000,50000,large,Khd,No,87.0,Spontaneous
RS,Winter,500,2000,5000,large,Kec,No,75.2,Precipitation
RS,Spring,50,200,500,medium,Kga,No,49.0,Precipitation
DS,Spring,5,20,50,small,Qat,No,58.9,Precipitation
RS,Spring,5,20,50,small,Khd,No,68.2,Precipitation
RS,Winter,500,2000,5000,large,Kga,No,88.9,Precipitation
RS,Winter,5,20,50,small,Khd,No,60.2,Precipitation
DF,Winter,5,20,50,small,Qat,No,87.2,Precipitation
RF,Winter,500,2000,5000,large,Khd,Yes,58.8,Precipitation
DS,Winter,5,57,50,medium,Qat,No,73.5,Precipitation
DS,Fall,50,200,500,medium,Qat,No,62.2,Precipitation
RS,Fall,50,200,500,medium,Kg,No,82.4,Precipitation
RS,Fall,5,20,50,small,Kga,No,76.4,Spontaneous
RF,Spring,5,20,50,small,Khd,Yes,71.5,Precipitation
DF/DS,Spring,5,20,50,small,Qat,No,78.5,Precipitation
DF,Spring,50,200,500,medium,Qat,No,68.9,Precipitation
RS,Summer,5,8450,50,large,Kga,No,83.0,Spontaneous
RS,Summer,50,200,500,medium,Kec,No,74.6,Spontaneous
RS,Winter,5,20,50,small,Kec,No,75.0,Spontaneous
RF,Spring,500,2000,5000,large,Kga,Yes,68.7,Precipitation
DS,Winter,500,2000,5000,large,Qat,No,71.3,Precipitation
DS,Winter,5,20,50,small,Qat,No,83.7,Precipitation
RF,Summer,5,20,50,small,Ks,Yes,76.7,Spontaneous
DS,Winter,50,200,500,medium,Qat,No,54.5,Precipitation
RS,Summer,50,200,500,medium,Kgp,No,76.5,Precipitation
