Type of slope movement,Season,Year,Month,Day,Time (PST),Minimum volume,Median/best estimate volume,Maximum volume,Relative size,Rock unit,Triggering condition(s),Rockfall
RF,,1857,,,,50000,200000,500000,extremely large,Kec,UKN,Yes
RF,,1858,,,,-,185000,-,extremely large,Ks/Kec,UKN,Yes
RF,Spring,1860,6,11,,500,2000,5000,large,Ks/Kec,F/T,Yes
RF,Fall,1864,11,13,late pm,5000,20000,50000,very large,Ks,P,Yes
RF,,"1868, pre",,,,5000,20000,50000,very large,Kec,UKN,Yes
RF,Summer,1870,7,01-Jul,,-,70,-,medium,Khd,L,Yes
RF,Summer,1870,8,6,early pm,5000,20000,50000,very large,Kgp,UNR,Yes
RF,Spring,1872,3,26,02:30,5000,20000,50000,very large,Kgp,EQ,Yes
RF,Spring,1872,3,26,02:30,-,36000,-,very large,Khd,EQ,Yes
RF,Spring,1872,3,26,02:30,500,2000,5000,large,Ks,EQ,Yes
RF,Spring,1872,3,26,02:30,500,2000,5000,large,Ks,EQ,Yes
RF,Spring,1872,3,26,02:30,500,2000,5000,large,Khd,EQ,Yes
RS,Spring,1872,3,26,03:30,500,2000,5000,large,Kgp,EQ,No
SA,Winter,1873,3,5,,0.5,2,5,very small,Ks/Kec,SA,No
RF,Winter,1873,3,12,,5000,20000,50000,very large,Ks/Kec,UKN,Yes
RS,Fall,1886,,,,500,2000,5000,large,Qat,UKN,No
RF,Spring,1886,3,21,am,-,1500,-,large,Kga,UKN,Yes
RF,Spring,1886,4,17,,-,1000,-,large,Kec,UNR,Yes
RS,Spring,1886,4,19,,50,200,500,medium,Ks,UKN,No
RS,Spring,1886-1905,5,,,-,3,-,very small,Kgp/Kec,UKN,No
RS,Summer,1886-1905,05-Sep,,,500,2000,5000,large,Kgp,UKN,No
RS,Spring,1892,5,1,,0.5,2,5,very small,Kgp,UKN,No
RS,Fall,1892,12,19,,5,20,50,small,Qat,P,No
RS,Fall,1892,12,19,,5,20,50,small,Kec,P,No
RS,Winter,1897,1,26,,5,20,50,small,Kgp,UKN,No
RS,Winter,1898-99,,,,5,20,50,small,Khd,UKN,No
RS,Spring,1900,4,,,5,20,50,small,Kgp/Kec,UKN,No
RS,Spring,1901,4,,,5,20,50,small,Kgp/Kec,UKN,No
RF,Spring,1901,5,,,0.5,2,5,very small,Khd,UKN,Yes
RS,Spring,1901,5,,,5,20,50,small,Kgp/Kec,UKN,No
RS,Spring,1901,6,,,5,20,50,small,Kec,UKN,No
RS,Winter,1907,,,,5000,20000,50000,very large,Khd,R/S,No
RS,Winter,1909,1,,,500,2000,5000,large,Kec,P,No
RS,Winter,1909,1,,,50,200,500,medium,Kec/Kdg,P,No
RS,Winter,1909,1,,,50,200,500,medium,Kec/Kdg,P,No
RS,Winter,1911,1,16-31,,5,20,50,small,Ka/Kga,P,No
RS,Spring,1912,,,,5,20,50,small,Kg/Kec,UKN,No
RF,Fall,1912,12,,,50,200,500,medium,Ks/Kec,UKN,Yes
RS,Spring,1913,6,4,,50,200,500,medium,Kga,P,No
DS,Spring,1913,6,4,,5,20,50,small,Qat,P,No
DS,Spring,1913,6,4,,5,20,50,small,Qat,P,No
RS,Spring,1913,7,,,5,20,50,small,Khd,P,No
RS,Fall,1913,12,,,50,200,500,medium,,P,No
RS,Winter,1914,1,,,500,2000,5000,large,Kga,P,No
RS,Winter,1914,1,,,50,200,500,medium,,UKN,No
RS,Winter,1914,1,,,50,200,500,medium,Kgp/Kec,P,No
RS,Winter,1914,1,,,5,20,50,small,Khd,P,No
DF,Winter,1914,1,,,5,20,50,small,Qat,P,No
DF,Winter,1914,1,,,5,20,50,small,Qat,P,No
RF,Winter,1915-1916,,,,500,2000,5000,large,Khd,P,Yes
RS,Winter,1915,1,27,,-,15,-,small,Kg/Kec,UKN,No
RS,Winter,1917,2,,,50,200,500,medium,Ka/Kga,P,No
DS,Winter,1917,02-Mar,,,-,57,-,medium,Qat,P,No
